Subject,Scenario,Accuracy,F1,AUROC,RS
7,No EDA + No Temperature,0.9379310344827586,0.9270501425456985,0.9865926953305594,0.9349406256795989
7,No Respiration + No Temperature,0.993103448275862,0.9915604446772597,0.9930651872399445,1.0
7,Only ECG,0.8344827586206897,0.8215750615258408,0.9576976421636615,0.8285678053577995
7,Only EDA,0.9793103448275862,0.9753694581280788,0.9956079519186315,0.9836712056878683
7,Only Respiration,0.896551724137931,0.8751793400286945,0.9283402681460934,0.8826283306546725
7,Only Temperature,0.8827586206896552,0.8708680391848709,1.0,0.8782803346580927
8,Full,0.9931506849315068,0.991918968284718,1.0,1.0
8,No ECG + No EDA,0.6917808219178082,0.6852694610778443,0.8627450980392157,0.6908522601023052
8,No ECG + No Respiration,0.6712328767123288,0.6696832579185521,0.9068627450980392,0.6751390782218895
8,No ECG + No Temperature,0.4726027397260274,0.46535406857849426,0.8545008912655971,0.46914524619204595
8,No EDA + No Respiration,0.9794520547945206,0.9751065643648764,1.0,0.9830506276647633
8,No EDA + No Temperature,0.9726027397260274,0.9670354481824339,0.9984402852049912,0.9749137571738202
8,No Respiration + No Temperature,0.9863013698630136,0.9837344028520499,0.9975490196078431,0.9917487560029008
8,Only ECG,0.9657534246575342,0.9585109406081274,0.9982174688057042,0.9663198015717335
8,Only EDA,0.4041095890410959,0.3861099028563143,0.8130570409982174,0.3892554888067089
8,Only Respiration,0.7465753424657534,0.6839272131531215,0.7618092691622104,0.6894990770625214
8,Only Temperature,0.6643835616438356,0.6608031861931629,0.8696524064171123,0.6661866617349408
9,Full,0.6620689655172414,0.6311198795493485,0.7512539899680801,1.0
9,No ECG + No EDA,0.7655172413793103,0.7583333333333333,0.7640218878248974,1.2015678128770428
9,No ECG + No Respiration,0.8344827586206897,0.8168421052631579,0.9005927952576379,1.2942740860047453
9,No ECG + No Temperature,0.8344827586206897,0.8168421052631579,0.9295485636114911,1.2942740860047453
9,No EDA + No Respiration,0.6275862068965518,0.5878947368421052,0.6420428636570907,0.9315104085485183
9,No EDA + No Temperature,0.5379310344827586,0.5075776775305387,0.5542635658914729,0.8042492305787846
9,No Respiration + No Temperature,0.7172413793103448,0.6676728715970708,0.7177382580939352,1.0579176686271126
9,Only ECG,0.5310344827586206,0.502020202020202,0.5132238942088463,0.7954434938393478
9,Only EDA,0.8275862068965517,0.8082923475593633,0.9320565435476516,1.2807271229303139
9,Only Respiration,0.5448275862068965,0.5437643020594966,0.6484268125854993,0.8615863953576803
9,Only Temperature,0.7586206896551724,0.7492712810631885,0.7576379388964888,1.1872091267323193
10,Full,0.8666666666666667,0.8346560846560847,0.9033257591406735,1.0
10,No ECG + No EDA,0.7,0.45117489226766405,0.9991737244370997,0.5405518519086434
10,No ECG + No Respiration,0.7133333333333334,0.507295088228554,0.9902912621359223,0.6077893608570314
10,No ECG + No Temperature,0.7066666666666667,0.4882133995037221,0.9053914480479239,0.5849276228602439
10,No EDA + No Respiration,0.9133333333333333,0.893296853625171,0.8744061144391655,1.0702574030754821
10,No EDA + No Temperature,0.4066666666666667,0.40345859957996333,0.5250981202230944,0.48338304482163597
10,No Respiration + No Temperature,0.6333333333333333,0.6067496067496068,0.6504854368932038,0.7269456461215574
10,Only ECG,0.4066666666666667,0.40345859957996333,0.4478413550919232,0.48338304482163597
10,Only EDA,0.6933333333333334,0.44799999999999995,0.8814294567238175,0.5367480190174326
10,Only Respiration,0.6866666666666666,0.40711462450592883,0.6552365213798802,0.48776332191201616
10,Only Temperature,0.6866666666666666,0.40711462450592883,1.0,0.48776332191201616
11,Full,1.0,1.0,1.0,1.0
11,No ECG + No EDA,0.6054421768707483,0.6045454545454545,0.6455337690631808,0.6045454545454545
11,No ECG + No Respiration,0.6462585034013606,0.6339080459770114,0.8235294117647058,0.6339080459770114
11,No ECG + No Temperature,0.8571428571428571,0.823730942728259,0.9326797385620915,0.823730942728259
11,No EDA + No Respiration,1.0,1.0,1.0,1.0
11,No EDA + No Temperature,1.0,1.0,1.0,1.0
11,No Respiration + No Temperature,1.0,1.0,1.0,1.0
11,Only ECG,1.0,1.0,1.0,1.0
11,Only EDA,0.8435374149659864,0.8009420076538122,0.9032679738562092,0.8009420076538122
11,Only Respiration,0.7551020408163265,0.704159212880143,0.7716775599128539,0.704159212880143
11,Only Temperature,0.6122448979591837,0.6122448979591837,0.47538126361655775,0.6122448979591837
13,Full,0.9523809523809523,0.9449526560744663,0.9908318425760286,1.0
13,No ECG + No EDA,0.8231292517006803,0.8125,0.965339892665474,0.8598314368206522
13,No ECG + No Respiration,0.9251700680272109,0.9124668435013262,0.9698121645796065,0.9656217564294776
13,No ECG + No Temperature,0.8843537414965986,0.8504398826979472,0.9011627906976745,0.8999814723320159
13,No EDA + No Respiration,0.8843537414965986,0.8729731103542926,0.9932915921288015,0.9238273523467387
